Time,Repeat.measurement,image,genus,species,species_author,Lat,Long,median or best estimate Ma,PaleoLat,Form,length,Zooid,width,area
Eocene.PDT,3,pdt0754,Membraniporella,,,,,,,Sheet,334.19,3,,
Eocene.PDT,1,pdt0756,Smittina,collum ,Canu & Bassler,034N,078W,38,028N,Sheet,983.79,1,503.38,428448.45
Eocene.PDT,1,pdt0756,Smittina,collum ,Canu & Bassler,,,,,Sheet,950.05,2,615.44,471105.08
Eocene.PDT,1,pdt0756,Smittina,collum ,Canu & Bassler,,,,,Sheet,931.18,3,690.98,438758.52
Eocene.PDT,2,pdt0756,Smittina,collum ,Canu & Bassler,,,,,Sheet,988.2,1,,
Eocene.PDT,2,pdt0756,Smittina,collum ,Canu & Bassler,,,,,Sheet,1003.52,2,,
Eocene.PDT,2,pdt0756,Smittina,collum ,Canu & Bassler,,,,,Sheet,901.04,3,,
Eocene.PDT,3,pdt0756,Smittina,collum ,Canu & Bassler,,,,,Sheet,986.9,1,,
Eocene.PDT,3,pdt0756,Smittina,collum ,Canu & Bassler,,,,,Sheet,1014.81,2,,
Eocene.PDT,3,pdt0756,Smittina,collum ,Canu & Bassler,,,,,Sheet,915.26,3,,
Maastrichtian.PDT,1,PDT0772,Craspedopora ,scalpata ,"Taylor & McKinney, 2006",034N,078W,70,033N,Sheet,248.24,1,265.72,38161.65
Maastrichtian.PDT,1,PDT0772,Craspedopora ,scalpata ,"Taylor & McKinney, 2006",,,,,Sheet,229.28,2,237.28,37419.62
Maastrichtian.PDT,1,PDT0772,Craspedopora ,scalpata ,"Taylor & McKinney, 2006",,,,,Sheet,248.89,3,241.21,41973.38
Maastrichtian.PDT,2,PDT0772,Craspedopora ,scalpata ,"Taylor & McKinney, 2006",,,,,Sheet,234.25,1,,
Maastrichtian.PDT,2,PDT0772,Craspedopora ,scalpata ,"Taylor & McKinney, 2006",,,,,Sheet,232.69,2,,
Maastrichtian.PDT,2,PDT0772,Craspedopora ,scalpata ,"Taylor & McKinney, 2006",,,,,Sheet,260.1,3,,
Maastrichtian.PDT,3,PDT0772,Craspedopora ,scalpata ,"Taylor & McKinney, 2006",,,,,Sheet,243.04,1,,
